config,seed,loss_pct,fault_factor,completed_pct,crashed,pre_rms,peak,post_rms
randomized,0,5,0.9500,17.6,True,0.016,1.030,0.893
randomized,1,5,0.9500,20.4,True,nan,nan,nan
randomized,2,5,0.9500,19.8,True,nan,nan,nan
capstone,0,5,0.9500,100.0,False,0.036,0.110,0.076
capstone,0,7,0.9300,100.0,False,0.036,0.140,0.075
capstone,0,9,0.9100,100.0,False,0.036,0.152,0.083
capstone,0,11,0.8900,100.0,False,0.036,0.207,0.100
capstone,0,13,0.8700,20.4,True,0.036,1.400,0.958
capstone,1,5,0.9500,100.0,False,0.029,0.135,0.084
capstone,1,7,0.9300,100.0,False,0.029,0.121,0.083
capstone,1,9,0.9100,100.0,False,0.029,0.117,0.056
capstone,1,11,0.8900,100.0,False,0.029,0.145,0.066
capstone,1,13,0.8700,17.0,True,0.029,0.700,0.609
capstone,2,5,0.9500,100.0,False,0.042,0.108,0.067
capstone,2,7,0.9300,100.0,False,0.042,0.130,0.082
capstone,2,9,0.9100,100.0,False,0.042,0.215,0.144
capstone,2,11,0.8900,29.0,False,0.042,0.293,0.259
authority25,0,5,0.9500,100.0,False,0.074,0.116,0.060
authority25,0,7,0.9300,100.0,False,0.074,0.116,0.057
authority25,0,9,0.9100,100.0,False,0.074,0.121,0.062
authority25,0,11,0.8900,100.0,False,0.074,0.124,0.071
authority25,0,13,0.8700,100.0,False,0.074,0.171,0.083
authority25,0,15,0.8500,100.0,False,0.074,0.165,0.094
authority25,0,17,0.8300,100.0,False,0.074,0.193,0.112
authority25,0,20,0.8000,17.0,True,0.074,0.986,0.972
authority25,1,5,0.9500,100.0,False,0.041,0.082,0.043
authority25,1,7,0.9300,100.0,False,0.041,0.095,0.052
authority25,1,9,0.9100,100.0,False,0.041,0.112,0.054
authority25,1,11,0.8900,100.0,False,0.041,0.092,0.056
authority25,1,13,0.8700,100.0,False,0.041,0.106,0.067
authority25,1,15,0.8500,100.0,False,0.041,0.165,0.093
authority25,1,17,0.8300,100.0,False,0.041,0.201,0.099
authority25,1,20,0.8000,24.7,True,nan,nan,nan
authority25,2,5,0.9500,100.0,False,0.038,0.114,0.073
authority25,2,7,0.9300,100.0,False,0.038,0.129,0.094
authority25,2,9,0.9100,100.0,False,0.038,0.111,0.056
authority25,2,11,0.8900,100.0,False,0.038,0.110,0.067
authority25,2,13,0.8700,100.0,False,0.038,0.109,0.052
authority25,2,15,0.8500,100.0,False,0.038,0.121,0.074
authority25,2,17,0.8300,100.0,False,0.038,0.201,0.047
authority25,2,20,0.8000,30.2,True,nan,nan,nan
pid,0,5,0.9500,100.0,False,0.019,0.073,0.062
pid,0,7,0.9300,100.0,False,0.019,0.077,0.063
pid,0,9,0.9100,34.0,True,nan,nan,nan
